profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match_time,Timestamp
199325,1,2759,76561198449406083,,[aM] Hera,,CA,2803,2838,-2,-6,36,3619,2555,1064,30,1683258081,2023-05-06 21:32:17.258656
196240,2,2745,76561197984749679,,GL.TheViper,,NO,2733,2813,4,-9,22,1630,1075,555,4,1683140173,2023-05-06 21:32:17.258656
4422938,3,2707,76561199118807671,,___MbL___,,NO,2701,2711,3,-10,73,544,418,126,5,1683378819,2023-05-06 21:32:17.258656
1862892,4,2707,76561199032160044,,Modri,,SI,2688,2707,9,-6,24,678,421,257,2,1682439919,2023-05-06 21:32:17.258656
251265,5,2704,76561197996386232,,[aM]MbL40C,,NO,2702,2751,9,-9,23,4355,3029,1326,96,1682857832,2023-05-06 21:32:17.258656
582058,6,2702,76561198032611326,,[aM] Hearttt,,PE,2696,2732,5,-7,14,2513,1546,967,21,1683397469,2023-05-06 21:32:17.258656
2644601,7,2700,76561199057707367,,__TheMbL__,,NO,2684,2700,2,-5,39,1039,782,257,9,1683247478,2023-05-06 21:32:17.258656
197964,8,2694,76561198179087382,,Yo,WWP,CN,2684,2799,1,-7,15,2344,1488,856,22,1683311068,2023-05-06 21:32:17.258656
199170,9,2688,76561197992981071,,dogao,,BR,2678,2688,13,-5,32,1744,1298,446,17,1682456591,2023-05-06 21:32:17.258656
208393,10,2678,76561198027378107,,[aM] Nicov,,AR,2675,2730,4,-6,22,1594,1146,448,8,1683182164,2023-05-06 21:32:17.258656
3209724,11,2676,76561198410119452,,Arabia Player,,CA,2670,2676,5,-3,45,272,214,58,0,1683349959,2023-05-06 21:32:17.258656
212721,12,2648,76561198116921964,,mYi.Sitaux,FrCo,FR,2637,2711,6,-5,29,1127,776,351,6,1682447813,2023-05-06 21:32:17.258656
666976,13,2646,76561198275359848,,_Barles_,,PL,2641,2697,3,-7,12,2662,1678,984,12,1682865759,2023-05-06 21:32:17.258656
4351237,14,2638,76561199114437308,,mYi.Sitaux,FrCo,FR,2636,2638,10,-4,40,318,242,76,1,1682902300,2023-05-06 21:32:17.258656
271202,15,2637,76561198000635167,,SalzZ_Vinchester,,RU,2617,2742,1,-6,18,1486,1029,457,7,1683238967,2023-05-06 21:32:17.258656
506898,16,2631,76561198362219694,,[aM] Liereyy,,AT,2618,2659,3,-6,16,1042,702,340,9,1682859601,2023-05-06 21:32:17.258656
208611,17,2627,76561198325239137,,Villese,,FI,2618,2740,1,-7,19,2852,1870,982,15,1683364738,2023-05-06 21:32:17.258656
1486575,18,2627,76561199021127843,,doguinhoCaRaMeLo_xD_br_2k,,BR,2614,2632,1,-6,20,1508,1091,417,6,1683221995,2023-05-06 21:32:17.258656
2368761,19,2604,76561199047138712,,Fox.Margougou,FrCo,FR,2587,2604,5,-7,16,1173,681,492,13,1682810122,2023-05-06 21:32:17.258656
11406458,20,2600,76561199406815843,,肥宝宝,,CN,2589,2659,6,-4,12,326,231,95,1,1683123002,2023-05-06 21:32:17.258656
614315,21,2582,76561198135964589,,slam,,CA,2573,2612,4,-8,14,3615,2163,1452,17,1683342810,2023-05-06 21:32:17.258656
198035,22,2582,76561198044559189,,GL.DauT,DauT,RS,2570,2608,2,-9,30,2216,1295,921,15,1683140048,2023-05-06 21:32:17.258656
4620061,23,2572,76561199124381546,,Phantom,,DE,2555,2623,4,-6,27,1955,1196,759,8,1682686519,2023-05-06 21:32:17.258656
628503,24,2563,76561198036586732,,Valas,,FI,2573,2645,-3,-7,16,2022,1179,843,2,1683370758,2023-05-06 21:32:17.258656
197388,25,2558,76561198088251629,,GL.TaToH,TaToH,ES,2546,2605,5,-6,32,865,623,242,4,1682689777,2023-05-06 21:32:17.258656
